Name KA;Bundesland;Rechtswert;Hochwert;Koordinatensystem;Ausbaugröße;Jahresabwassermenge [m^3/a];Abwassereinigung;pl_n_tech;pl_p_tech;pl_uv;pl_chlorination;pl_ozonation;pl_sand_filtration;pl_micro_filtration;pl_other;pl_other_comment;N-Ablauffracht [kg/a];P-Ablauffracht [kg/a];Einleitgewässer;Flusseinzugsgebiet;Flussgebietseinheit;lat;long
Lenzen;BB;33263086;5888519;ETRS89_UTM33;5632;86000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);576;103;Löcknitz;Elbe;Elbe;53.09344906;11.46151574
Wittenberge;BB;33278647;5880130;ETRS89_UTM33;45000;1000000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);4699;1090;Elbe;Elbe;Elbe;53.02484065;11.69925882
Karstädt;BB;33281135;5894673;ETRS89_UTM33;10000;268000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);462;1006;Semmliner Graben;Elbe;Elbe;53.15638207;11.72639233
Perleberg;BB;33288930;5883309;ETRS89_UTM33;65000;855500;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2652;539;Stepenitz;Elbe;Elbe;53.05752825;11.85025525
Bad Wilsnack;BB;33295209;5873218;ETRS89_UTM33;6000;152000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);654;213;LV 3/73 - Karthane;Elbe;Elbe;52.96938699;11.95020644
Pritzwalk;BB;33309068;5894576;ETRS89_UTM33;30000;1076000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2153;969;Dömnitz;Elbe;Elbe;53.16625636;12.14364016
Meyenburg;BB;33315015;5912594;ETRS89_UTM33;2500;101000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);202;30;Graben 1/28/02-Stepenitz;Elbe;Elbe;53.33013039;12.22202566
Ziesar;BB;33316240;5795764;ETRS89_UTM33;6750;172513;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1725;224;Siebbach;Elbe;Elbe;52.2814773;12.30607871
Gumtow;BB;33316787;5875264;ETRS89_UTM33;2500;84000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);157;179;Westliche Jäglitz;Elbe;Elbe;52.99556462;12.26997059
Heidefeld;BB;33319145;5827924;ETRS89_UTM33;4700;103000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1143;829;Havel. rechtes Ufer;Elbe;Elbe;52.57125702;12.33121841
Görzke;BB;33319204;5784432;ETRS89_UTM33;2500;44000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);61;100;Grundwasser. Buckau-Quellgebiet;Elbe;Elbe;52.1806874;12.35553866
Rathenow;BB;33319317;5834247;ETRS89_UTM33;40000;1081000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2313;1373;Havel;Elbe;Elbe;52.62809652;12.33030135
Hohennauen;BB;33319914;5839887;ETRS89_UTM33;8500;142000;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);2350;1300;Landwirtschaftlicher Graben;Elbe;Elbe;52.67894344;12.33603313
MFKE Premnitz;BB;33320984;5823359;ETRS89_UTM33;10300;1333115;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2377;738;Havel bei Döberitz km 88.8;Elbe;Elbe;52.53086897;12.36078639
Wiesenburg/Mark;BB;33325321;5775754;ETRS89_UTM33;6000;179000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);404;160;Seegraben;Elbe;Elbe;52.10471389;12.44937232
Brandenburg - Briest;BB;33325674;5810607;ETRS89_UTM33;143400;5022000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);46462;1353;Havel;Elbe;Elbe;52.41786148;12.4365223
Neustadt (Dosse);BB;33328163;5859404;ETRS89_UTM33;30000;1121000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2276;1147;Schwenze;Elbe;Elbe;52.85690189;12.44768839
Pritzerbe;BB;33328850;5820744;ETRS89_UTM33;4200;140000;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);3950;1120;Abzugsgraben zur Havel;Elbe;Elbe;52.5099103;12.47797515
Wittstock/Dosse;BB;33331269;5890966;ETRS89_UTM33;25000;668000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2993;347;Dosse;Elbe;Elbe;53.14133512;12.47729561
Nennhausen;BB;33333321;5830809;ETRS89_UTM33;5000;96000;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);1564;947;Mündung Erster Flügelgraben;Elbe;Elbe;52.60169746;12.53873541
Belzig;BB;33336060;5780016;ETRS89_UTM33;10000;438317;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2006;241;Bodenfilter;Elbe;Elbe;52.14628577;12.60397432
Wagenitz;BB;33340298;5837698;ETRS89_UTM33;5000;162500;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);2145;1203;Großer Hvl. Hauptkanal;Elbe;Elbe;52.6656721;12.63833272
Jeserig;BB;33341807;5808184;ETRS89_UTM33;16000;471000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);3251;218;Graben zur Havel;Elbe;Elbe;52.40099945;12.67468175
Niemegk;BB;33342253;5773640;ETRS89_UTM33;4700;104107;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);219;146;Buffbach;Elbe;Elbe;52.09081029;12.69736077
Lehnin;BB;33344877;5799253;ETRS89_UTM33;21000;208385;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);140;114;Emster Kanal;Elbe;Elbe;52.32164834;12.72389774
Werder;BB;33345402;5864984;ETRS89_UTM33;3500;135000;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);972;702;Temnitz;Elbe;Elbe;52.9122493;12.70085256
Brück - Hackenhausen;BB;33345660;5787437;ETRS89_UTM33;16000;443000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);3189;753;B-Graben;Elbe;Elbe;52.2157196;12.74078189
Roskow;BB;33346853;5816644;ETRS89_UTM33;25000;1535000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);24822;2785;Havel;Elbe;Elbe;52.47843351;12.74491217
Fehrbellin;BB;33347728;5853901;ETRS89_UTM33;15000;382000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1148;383;Rhin;Elbe;Elbe;52.81335896;12.74059449
Neuruppin;BB;33353226;5869024;ETRS89_UTM33;44000;1787000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);13563;1483;Landwehrgraben-Temnitz;Elbe;Elbe;52.95073459;12.81528722
Treuenbrietzen;BB;33354445;5775209;ETRS89_UTM33;10000;411000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);4172;361;Nieplitz;Elbe;Elbe;52.10824792;12.87451962
Nauen;BB;33356428;5834216;ETRS89_UTM33;14500;779000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);12672;1408;Bärhorstgraben;Elbe;Elbe;52.63890217;12.87818988
Werder OT Kemnitz;BB;33357392;5809265;ETRS89_UTM33;38000;1040000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);5304;2080;Havel;Elbe;Elbe;52.41499419;12.90313325
Beelitz;BB;33362110;5788492;ETRS89_UTM33;30000;790500;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);9457;699;Nieplitz;Elbe;Elbe;52.22956138;12.98097418
Satzkorn;BB;33363329;5814557;ETRS89_UTM33;10000;250000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);550;128;Sacrow-Paretzer Kanal;Elbe;Elbe;52.46405691;12.98820426
Potsdam-Nord;BB;33365829;5811502;ETRS89_UTM33;90000;4197000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);43367;1917;Sacrow-Paretzer Kanal;Elbe;Elbe;52.43722791;13.0262082
Kremmen;BB;33369094;5847428;ETRS89_UTM33;10000;461000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);3657;424;Namenlosegr./Ruppiner Kanal;Elbe;Elbe;52.76081185;13.0599971
Jüterbog;BB;33369667;5762787;ETRS89_UTM33;29000;1199000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);3606;704;Nuthe;Elbe;Elbe;52.00042138;13.10139925
Wansdorf BWB;BB;33370834;5831470;ETRS89_UTM33;270000;13479300;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);177100;5500;Graben in den Havelkanal;Elbe;Elbe;52.61784962;13.09203014
Schönermark OHV;BB;33373535;5876263;ETRS89_UTM33;30000;1033500;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2067;879;Nordumfluter (zur Havel);Elbe;Elbe;53.02094496;13.11456069
Luckenwalde;BB;33373719;5774910;ETRS89_UTM33;40000;1556000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);4000;2300;Nuthe- Illichengraben;Elbe;Elbe;52.11029774;13.15591103
Mühlberg;BB;33376265;5701084;ETRS89_UTM33;4800;89290;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);118;313;Brottewitzer Graben;Elbe;Elbe;51.44740721;13.21938707
Schönewalde;BB;33376906;5741168;ETRS89_UTM33;8000;127000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);197;839;Schweinitzer Fließ;Elbe;Elbe;51.80778967;13.21451673
